Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
ENCFF722QGY	0.01586011857458691	0	0.04251794618222429	0	0	0.4798407866724752	0	0.0012489884152787185	0.018089371474463743	0	0	0.024446635804420722	0	0.1437436459923999	0	0	0.04014014376318061	0	0.17688266211376444	0	0.021725626574585728	0.03550407443261972	0.774	-0.015	1.1070881358753717
ENCFF044EJX	0	0	0.013638702091916633	0	0	0.3349989776455806	0	0.24043261119818704	0	0	0	0.08254638625839647	0.02400834084070728	0	0.03536714010484262	0	0	0.17828948277134296	0	0.0907183590890264	0	0	0.839	-0.0212	1.132768998142959
ENCFF052HXO	0.022149877511379108	0	0.008106567865023366	0	0.20239408558849992	0.2404314073252214	0	0	0	0	0.014672356901801709	0.016621119390507838	0.005796310046712149	0.16280366745387334	0	0	0	0.018838184365585976	0	0.3081864235513952	0	0	0.133	0.09542177267707881	1.084744696120812
ENCFF063XVI	0.042505545004509725	0	0.04597633462316628	0.0838786979299154	0	0.38112931511248793	0	0	0.038427403798685006	0	0	0.0002	0.03537428389777163	0.12994095493847313	0	0.03998670818954464	0.008677727686748214	0.03945422713399734	0	0.10196324958570935	0.03827528492304969	0.014238090206092789	0.365	0.03043695427503978	1.0817979289061326
ENCFF372VME	0	0	0.012081106008458652	0	0.27172681221315104	0.2271992308862375	0	0	0	0	0.044659247044006034	0	0.009091781478783404	0.10804024965204292	0	0	0	0.0016286446286555407	0	0.32557292808866495	0	0	0.157	0.0841440693791523	1.0971600710520628
ENCFF108ERJ	0.02052157296535743	0	0.0006	0	0.2290825233949129	0.12296625895068211	0	0	0	0	0.0704173911166934	0	0.008025097610532089	0.12491356858839174	0	0	0	0.08464122877189875	0	0.3362509311845536	0.0026055189826172144	0	0.143	0.09016695177571582	1.0844973006202463
ENCFF699KSV	0	0	0.019740869842423014	0	0.18927813626883547	0.342142385755807	0	0	0	0	0.13516847677321728	0	0.06138078187381295	0.03745543663155683	0	0	0	0.021376283516894672	0	0.19345762933745278	0	0	0.287	0.04593857988945879	1.0997556259617436
ENCFF376ZWZ	0.06114403464967165	0	0.017477241865321694	0	0.16156873241545033	0.19444281571992242	0	0.024906745254943092	0	0	0	0.029359126459723033	0	0.132885736420436	0	0	0	0.037380395930721115	0	0.3408351712838107	0	0	0.312	0.04172189533778151	1.1075813721090508
ENCFF886ZLO	0.05617708037430255	0	0.018735999974243543	0	0.22781354733818351	0.2331578962941274	0	0	0	0	0.01687586330253137	0.013597615102822154	0.01076721553410343	0.08653593063966727	0	0	0	0.011775576528788344	0	0.32456327491123044	0	0	0.336	0.036642657921204684	1.1117767952374151
ENCFF111SEX	0.008148479088464073	0	0.016903742721825498	0	0	0.6162668806662156	0	0.012227575537165428	0	0	0.0409794948191084	0.021122327410976017	0.07653797304224408	0.015222872347722939	0.002803089552418179	0	0	0.011393275361776912	0.17797985982105521	0	0.0004	0	0.976	-0.0383	1.1469259594534877
